ClassName,RegionSeriesName,RegionType,Source,SourceType,IxName,key
HousePriceIx,"Evansville, IN-KY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),112
HousePriceIx,"Fairbanks, AK",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),113
HousePriceIx,"Fargo, ND-MN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),114
HousePriceIx,"Farmington, NM",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),115
HousePriceIx,"Fayetteville, NC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),116
HousePriceIx,"Fayetteville-Springdale-Rogers, AR-MO",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),117
HousePriceIx,"Flagstaff, AZ-UT",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),118
HousePriceIx,"Flint, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),119
HousePriceIx,"Florence, SC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),120
HousePriceIx,"Florence-Muscle Shoals, AL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),121
HousePriceIx,"Fond du Lac, WI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),122
HousePriceIx,"Fort Collins-Loveland, CO",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),123
HousePriceIx,"Ft. Lauderdale-Pompano Bch.-Deerfield Bch., FL(MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),124
HousePriceIx,"Fort Smith, AR-OK",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),125
HousePriceIx,"Fort Wayne, IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),126
HousePriceIx,"Fort Worth-Arlington, TX  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),127
HousePriceIx,"Fresno, CA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),128
HousePriceIx,"Gadsden, AL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),129
